attack_type;target_system;outcome;timestamp;attacker_ip;target_ip;data_compromised_GB;attack_duration_min;security_tools_used;user_role;location;attack_severity;industry;response_time_min;mitigation_method
DDoS;User Account;Failure;29:51.1;6.156.178.255;155.250.3.44;15.33;108;Firewall;External User;UK;9;Retail;14;Patch
SQL Injection;Database;Success;43:11.1;250.186.22.131;183.115.168.147;12.99;119;IDS;Employee;Brazil;1;Energy;88;Patch
SQL Injection;Web Server;Success;26:36.1;55.229.52.241;239.35.107.249;29.27;300;Firewall;External User;UK;8;Technology;159;Patch
Cross-Site Scripting;Network Switch;Success;11:43.1;108.252.250.64;113.173.96.216;20.54;44;Firewall;Admin;Brazil;1;Retail;46;Quarantine
Zero-Day Exploit;API;Failure;43:44.1;81.82.95.59;84.120.87.36;50.9;197;Firewall;Contractor;China;7;Government;145;Containment
Malware;API;Success;24:14.1;203.64.183.195;69.141.177.45;76.25;112;Endpoint Detection;Admin;Canada;10;Government;69;Reset Credentials
Phishing;Email Server;Failure;15:52.1;87.132.92.143;166.179.107.19;91.35;1;IDS;Contractor;India;1;Education;53;Containment
Phishing;IoT Device;Failure;25:04.1;242.234.14.29;236.202.178.24;55.13;261;SIEM;Admin;Russia;3;Energy;21;Block IP
SQL Injection;Email Server;Success;10:06.1;65.135.45.144;158.54.62.39;91.54;145;WAF;Admin;India;7;Finance;135;Block IP
Zero-Day Exploit;Database;Failure;51:19.1;29.157.115.78;96.83.56.39;83.29;129;SIEM;External User;Australia;6;Government;24;Containment
Zero-Day Exploit;API;Success;47:56.1;112.32.180.16;104.110.62.223;77.65;94;Firewall;Contractor;Australia;10;Education;87;Reset Credentials
Cross-Site Scripting;Web Server;Success;23:11.1;227.106.170.90;130.71.88.127;18.77;174;Firewall;Contractor;USA;8;Healthcare;49;Patch
Malware;Email Server;Failure;53:20.1;84.170.191.208;115.207.189.2;15.05;276;Firewall;Employee;Russia;4;Healthcare;19;Quarantine
Zero-Day Exploit;Web Server;Failure;04:24.1;43.1.200.15;129.140.244.127;96.18;158;Firewall;Employee;Canada;5;Manufacturing;22;Containment
DDoS;API;Success;16:11.1;152.195.172.31;169.102.223.8;5.37;244;IDS;Admin;Canada;5;Manufacturing;87;Quarantine
Brute Force;Web Server;Success;12:26.1;151.53.101.96;57.126.253.231;72.76;234;MFA;External User;Russia;4;Manufacturing;51;Quarantine
SQL Injection;Cloud Service;Success;00:46.1;31.134.234.194;140.207.63.57;11.61;112;Antivirus;Contractor;Brazil;1;Finance;73;Containment
Zero-Day Exploit;IoT Device;Success;20:12.1;51.162.17.26;138.41.212.135;81.9;269;WAF;Employee;Germany;8;Finance;176;Containment
DDoS;Database;Success;14:44.1;221.204.94.106;199.244.53.217;78.25;60;Antivirus;Employee;India;7;Manufacturing;90;Quarantine
Brute Force;Network Switch;Success;19:08.1;109.5.17.219;244.97.80.57;34.34;155;Endpoint Detection;Contractor;Germany;4;Finance;127;Containment
Malware;API;Success;42:24.1;239.69.42.201;235.245.68.33;60.82;14;SIEM;Contractor;Canada;6;Technology;5;Reset Credentials
SQL Injection;User Account;Failure;46:17.1;151.156.52.220;66.204.145.178;14.97;280;Endpoint Detection;Contractor;France;1;Retail;13;Containment
SQL Injection;Email Server;Failure;43:20.1;220.81.16.66;83.209.203.113;91.08;88;VPN;Admin;France;1;Energy;104;Quarantine
SQL Injection;IoT Device;Success;06:43.1;73.163.227.68;121.197.85.232;95.42;170;WAF;External User;France;3;Healthcare;64;Containment
Brute Force;Network Switch;Failure;19:20.1;17.207.85.23;218.149.213.136;81.49;299;Firewall;Employee;Russia;10;Government;163;Containment
Phishing;Web Server;Success;03:30.1;251.46.101.253;138.137.145.193;78.75;54;IDS;External User;USA;10;Finance;85;Quarantine
Malware;Cloud Service;Success;22:38.1;185.165.207.236;150.85.7.2;54.39;274;Antivirus;Admin;UK;5;Finance;139;Quarantine
SQL Injection;Cloud Service;Failure;54:21.1;178.201.25.40;220.113.121.212;5.23;211;VPN;Admin;China;4;Retail;2;Patch
Zero-Day Exploit;Network Switch;Success;16:03.1;56.230.142.117;167.74.131.161;48.12;131;MFA;Admin;UK;3;Retail;71;Containment
SQL Injection;Web Server;Failure;43:31.1;37.70.8.72;176.156.249.82;44.22;39;WAF;External User;France;7;Education;179;Patch
DDoS;Web Server;Failure;31:38.1;67.240.4.143;115.232.10.125;87.64;88;WAF;Admin;Germany;7;Energy;107;Patch
Zero-Day Exploit;API;Success;15:32.1;198.71.87.204;108.114.35.114;58.08;183;Antivirus;Admin;France;6;Finance;74;Block IP
SQL Injection;IoT Device;Success;08:42.1;59.173.187.87;202.209.61.174;19.8;154;SIEM;External User;India;10;Government;111;Containment
SQL Injection;User Account;Failure;44:39.1;214.180.85.175;70.113.38.62;5.04;270;IDS;Admin;Brazil;10;Manufacturing;58;Reset Credentials
Brute Force;Cloud Service;Failure;32:32.1;17.152.251.225;108.64.13.129;49.13;168;IDS;Employee;China;4;Finance;41;Reset Credentials
DDoS;Web Server;Success;08:33.1;147.233.186.142;123.113.55.170;24.41;101;IDS;Admin;USA;2;Finance;130;Quarantine
Ransomware;Cloud Service;Success;29:24.1;1.181.98.42;86.63.139.54;88.48;16;Firewall;Contractor;France;8;Finance;71;Patch
Ransomware;Cloud Service;Failure;07:33.1;222.254.186.188;167.62.76.36;33.66;292;SIEM;Contractor;India;6;Education;162;Reset Credentials
Ransomware;Cloud Service;Success;17:42.1;6.3.252.55;132.106.226.113;84.97;220;Endpoint Detection;Employee;Brazil;4;Manufacturing;116;Containment
SQL Injection;Network Switch;Success;40:13.1;152.109.66.52;235.194.179.171;62.99;156;Endpoint Detection;External User;France;6;Manufacturing;11;Patch
Ransomware;Cloud Service;Failure;44:53.1;241.194.234.204;85.187.153.251;64;182;IDS;Admin;UK;5;Finance;101;Quarantine
Zero-Day Exploit;Network Switch;Success;36:42.1;237.14.38.176;211.122.42.19;85.34;165;Antivirus;Admin;China;10;Finance;61;Block IP
Ransomware;Cloud Service;Success;15:56.1;177.176.163.176;138.67.6.24;38.58;144;VPN;Employee;Russia;7;Education;6;Quarantine
Cross-Site Scripting;Email Server;Success;26:58.1;46.22.138.111;124.80.71.60;36.31;12;MFA;External User;India;3;Education;161;Patch
Malware;Network Switch;Failure;18:22.1;36.170.59.116;121.49.39.31;23.53;210;IDS;Contractor;India;2;Manufacturing;167;Patch
DDoS;Cloud Service;Success;11:43.1;83.175.207.187;181.51.96.200;71.54;206;MFA;Employee;Germany;7;Technology;70;Reset Credentials
Malware;Web Server;Success;52:51.1;243.120.237.112;125.97.249.55;53.83;116;Antivirus;Admin;Australia;9;Healthcare;37;Quarantine
Cross-Site Scripting;Database;Success;23:20.1;39.58.184.134;140.207.143.5;16.14;240;Antivirus;External User;Australia;9;Manufacturing;96;Reset Credentials
Ransomware;Email Server;Success;56:11.1;108.217.43.59;75.6.24.194;94.51;86;Endpoint Detection;External User;India;6;Manufacturing;149;Block IP
DDoS;IoT Device;Failure;54:26.1;128.151.161.188;65.50.221.19;43.83;153;MFA;External User;Canada;6;Government;79;Patch
Malware;Email Server;Success;32:52.1;107.245.90.102;148.14.182.201;93.43;250;Endpoint Detection;External User;China;6;Retail;85;Reset Credentials
Malware;Network Switch;Success;48:58.1;182.113.221.85;122.56.187.144;99.5;82;Endpoint Detection;External User;France;5;Government;132;Block IP
Zero-Day Exploit;API;Success;49:14.1;209.193.23.227;179.145.171.107;43.98;177;IDS;Employee;Russia;8;Technology;78;Block IP
Ransomware;Database;Success;06:32.1;243.151.151.100;137.128.210.107;29.94;44;MFA;Employee;Russia;9;Education;37;Patch
Brute Force;IoT Device;Success;12:44.1;196.168.73.6;226.154.165.179;25.96;192;Endpoint Detection;Admin;China;6;Energy;82;Block IP
DDoS;Network Switch;Success;42:46.1;170.51.111.27;160.70.57.179;68.09;67;IDS;Contractor;Canada;9;Healthcare;26;Containment
Malware;IoT Device;Failure;01:11.1;156.33.3.177;166.4.85.179;60.51;212;MFA;External User;Germany;5;Finance;64;Patch
Ransomware;Cloud Service;Success;52:49.1;203.125.38.155;16.106.251.174;2.98;9;VPN;Employee;Australia;7;Manufacturing;37;Containment
Cross-Site Scripting;IoT Device;Success;14:26.1;232.196.212.42;223.208.18.135;43.13;120;IDS;Contractor;Australia;6;Manufacturing;5;Quarantine
Ransomware;User Account;Failure;30:44.1;245.80.209.185;209.79.15.111;56.45;198;VPN;Contractor;Germany;8;Education;62;Reset Credentials
Zero-Day Exploit;User Account;Success;47:37.1;103.41.89.236;200.151.252.10;0.84;175;SIEM;Admin;India;4;Government;171;Containment
Zero-Day Exploit;IoT Device;Failure;28:40.1;71.39.172.238;252.193.28.76;12.38;141;IDS;Employee;China;1;Government;6;Patch
Cross-Site Scripting;User Account;Failure;40:03.1;157.95.155.21;192.152.183.89;52.59;97;Firewall;Employee;Russia;2;Healthcare;71;Quarantine
Brute Force;User Account;Success;48:39.1;211.221.112.3;120.254.34.87;29.24;85;Firewall;Admin;USA;4;Healthcare;74;Containment
Cross-Site Scripting;Email Server;Failure;15:22.1;214.119.153.3;76.123.116.84;56.53;213;SIEM;Contractor;France;8;Manufacturing;117;Containment
DDoS;API;Success;11:31.1;158.115.153.141;15.104.106.237;73.84;146;VPN;Employee;USA;8;Healthcare;21;Reset Credentials
Ransomware;API;Failure;33:44.1;91.250.52.76;25.201.2.247;67.27;153;SIEM;Employee;USA;1;Healthcare;63;Quarantine
DDoS;Web Server;Success;51:09.1;53.98.39.35;136.62.93.197;60.67;281;SIEM;Contractor;UK;5;Retail;165;Reset Credentials
Cross-Site Scripting;IoT Device;Success;32:46.1;32.225.60.150;225.217.244.193;27.25;84;Firewall;Contractor;Australia;5;Education;38;Containment
SQL Injection;Web Server;Success;15:56.1;201.5.176.111;40.105.56.115;82.93;209;SIEM;Admin;Australia;7;Retail;43;Patch
Cross-Site Scripting;API;Success;02:36.1;37.71.216.72;114.19.14.119;27.92;150;IDS;Employee;France;5;Retail;84;Patch
Phishing;API;Success;30:59.1;53.182.19.214;110.85.118.68;1.73;300;SIEM;Contractor;USA;3;Energy;135;Block IP
Zero-Day Exploit;Cloud Service;Success;40:33.1;29.123.39.242;4.170.217.144;47.32;298;SIEM;Employee;Brazil;1;Retail;67;Reset Credentials
Phishing;Email Server;Failure;27:42.1;76.108.140.8;131.121.151.237;11.68;110;Firewall;External User;China;3;Energy;94;Containment
DDoS;Cloud Service;Failure;51:25.1;6.65.75.61;64.222.102.189;97.37;212;MFA;External User;India;7;Manufacturing;165;Patch
Brute Force;IoT Device;Success;05:12.1;2.94.237.14;218.44.118.63;35.88;186;Antivirus;Contractor;Russia;5;Manufacturing;139;Block IP
Phishing;IoT Device;Failure;38:42.1;158.146.117.22;2.9.121.237;34.06;279;Antivirus;External User;Brazil;6;Healthcare;23;Containment
Cross-Site Scripting;Web Server;Success;43:18.1;21.247.196.186;1.141.60.229;33.45;96;MFA;Contractor;Brazil;9;Retail;86;Patch
Ransomware;IoT Device;Success;18:53.1;42.99.119.13;223.236.177.249;10.1;260;Antivirus;Admin;India;8;Energy;16;Reset Credentials
Malware;Database;Success;21:23.1;27.108.5.83;124.231.113.73;88.9;37;Antivirus;Employee;Germany;5;Technology;40;Containment
SQL Injection;IoT Device;Failure;55:38.1;193.15.111.171;252.77.239.33;96.1;121;SIEM;External User;Canada;4;Healthcare;16;Reset Credentials
DDoS;User Account;Success;44:15.1;219.119.198.254;138.71.139.34;22.27;218;Antivirus;Admin;France;10;Energy;116;Patch
SQL Injection;User Account;Failure;35:51.1;73.40.240.99;240.168.240.108;40.59;190;MFA;Employee;Brazil;9;Healthcare;75;Quarantine
Ransomware;Database;Success;09:51.1;58.124.227.53;82.77.254.5;95.43;103;Antivirus;External User;India;3;Healthcare;53;Reset Credentials
Ransomware;Cloud Service;Failure;39:30.1;226.58.126.168;228.39.39.50;34.38;25;MFA;Contractor;Russia;10;Retail;57;Quarantine
Brute Force;Network Switch;Success;21:19.1;48.202.123.67;189.252.158.152;78.48;54;Firewall;Employee;Germany;10;Energy;27;Patch
Malware;Web Server;Failure;13:30.1;192.90.112.220;240.4.132.170;29.72;68;SIEM;Contractor;Germany;10;Healthcare;100;Containment
SQL Injection;IoT Device;Success;07:19.1;229.196.42.220;178.124.243.151;40.85;260;Antivirus;Contractor;USA;4;Healthcare;43;Patch
Ransomware;Network Switch;Failure;49:38.1;117.69.16.99;49.130.185.17;12.55;105;Endpoint Detection;Contractor;USA;6;Healthcare;127;Block IP
Cross-Site Scripting;API;Success;36:09.1;211.128.152.174;50.87.244.164;81.12;261;Antivirus;Employee;Canada;9;Energy;49;Quarantine
DDoS;Network Switch;Success;19:02.1;40.181.214.202;27.28.111.86;41.29;107;IDS;Admin;UK;10;Education;59;Block IP
Zero-Day Exploit;Email Server;Failure;31:26.1;229.75.157.125;30.46.69.241;87.69;19;SIEM;External User;Brazil;2;Healthcare;101;Quarantine
Cross-Site Scripting;Cloud Service;Failure;43:40.1;242.233.211.130;169.49.193.129;55.61;235;Endpoint Detection;Employee;Russia;2;Healthcare;82;Containment
Zero-Day Exploit;Database;Success;34:49.1;194.105.248.118;160.40.199.188;7.05;8;Antivirus;Employee;USA;2;Retail;48;Quarantine
DDoS;IoT Device;Failure;34:37.1;164.151.168.99;76.200.154.142;61.66;296;IDS;Employee;China;4;Manufacturing;69;Quarantine
Brute Force;Database;Success;10:55.1;79.87.99.195;112.178.98.106;94.33;247;MFA;External User;Brazil;9;Retail;49;Reset Credentials
Cross-Site Scripting;Network Switch;Success;35:11.1;111.105.7.135;221.41.173.87;55.33;271;MFA;Employee;USA;10;Energy;172;Containment
Malware;Web Server;Failure;58:13.1;7.42.145.110;41.216.42.169;69.15;14;Antivirus;Employee;UK;8;Manufacturing;69;Quarantine
Zero-Day Exploit;Database;Success;02:56.1;187.114.147.194;245.76.118.146;31.16;128;WAF;Contractor;Brazil;1;Energy;100;Quarantine
Zero-Day Exploit;Network Switch;Success;11:20.1;70.247.22.35;77.142.120.187;39.54;183;SIEM;Admin;Canada;8;Education;83;Containment
SQL Injection;User Account;Failure;25:33.1;173.14.49.26;67.32.172.39;30.44;222;MFA;Employee;Australia;2;Government;163;Block IP
Malware;Web Server;Success;05:41.1;129.112.116.192;89.54.101.16;46.71;231;Firewall;Contractor;Russia;8;Manufacturing;137;Block IP
Zero-Day Exploit;Database;Success;12:31.1;37.207.149.134;33.7.44.156;48.36;134;Antivirus;Contractor;China;5;Government;84;Patch
Phishing;IoT Device;Success;48:38.1;29.247.208.187;161.253.187.40;29.3;143;VPN;Admin;UK;5;Manufacturing;109;Quarantine
SQL Injection;Email Server;Failure;07:59.1;4.104.110.69;197.85.37.241;26.49;299;Endpoint Detection;External User;USA;9;Government;43;Reset Credentials
SQL Injection;Web Server;Success;04:25.1;213.135.36.194;38.158.121.212;74.42;129;Endpoint Detection;Employee;Brazil;6;Education;171;Quarantine
Brute Force;Email Server;Failure;07:00.1;16.98.62.234;138.30.82.0;58.37;279;Endpoint Detection;Admin;Germany;2;Education;154;Containment
Malware;Network Switch;Success;14:33.1;122.177.91.142;215.120.145.255;59.03;203;VPN;External User;Russia;6;Technology;108;Quarantine
Phishing;Web Server;Failure;22:52.1;87.118.147.88;3.51.206.31;51.44;250;MFA;Contractor;Russia;1;Energy;49;Quarantine
Malware;Email Server;Success;41:00.1;68.145.188.105;42.242.156.20;75.95;173;SIEM;External User;Germany;3;Education;175;Reset Credentials
Ransomware;IoT Device;Failure;56:11.1;42.204.38.95;137.150.153.209;44.63;100;IDS;Employee;Australia;3;Government;105;Patch
Phishing;Cloud Service;Success;11:38.1;143.151.177.56;49.77.24.228;60.65;115;MFA;Contractor;UK;6;Healthcare;32;Block IP
Brute Force;User Account;Success;54:11.1;183.238.46.176;204.134.236.147;85.53;131;Firewall;Contractor;India;5;Education;164;Block IP
Ransomware;API;Failure;13:55.1;90.222.41.188;117.88.220.5;82.9;259;WAF;Admin;Canada;7;Technology;163;Reset Credentials
DDoS;Network Switch;Success;01:23.1;170.206.197.150;130.177.182.0;26.64;190;WAF;External User;India;8;Government;159;Patch
SQL Injection;Network Switch;Failure;33:04.1;142.48.37.20;34.191.130.223;53.97;265;SIEM;External User;Germany;3;Manufacturing;113;Patch
Ransomware;User Account;Failure;15:40.1;248.189.158.103;28.133.67.141;48.16;34;VPN;Admin;Brazil;1;Healthcare;72;Patch
Ransomware;Email Server;Success;25:02.1;39.67.236.240;73.35.250.222;81.01;123;MFA;Admin;India;1;Technology;34;Containment
SQL Injection;IoT Device;Success;46:05.1;117.178.229.7;55.28.120.97;49.52;296;VPN;Employee;Germany;6;Government;74;Quarantine
DDoS;API;Success;28:58.1;61.250.87.46;5.156.186.98;44.71;210;IDS;Admin;Brazil;1;Education;169;Block IP
Cross-Site Scripting;Email Server;Success;37:56.1;168.69.117.217;23.127.49.250;84.11;114;IDS;Admin;China;9;Finance;65;Containment
Malware;Network Switch;Failure;44:25.1;245.157.60.122;126.174.20.165;20.33;81;Firewall;Employee;Brazil;2;Education;163;Block IP
Zero-Day Exploit;Web Server;Failure;13:18.1;195.45.160.118;87.189.92.85;91.34;111;Endpoint Detection;Employee;China;4;Government;129;Block IP
Malware;Email Server;Failure;38:12.1;20.239.185.159;14.84.47.9;40.51;53;SIEM;Employee;USA;3;Technology;140;Block IP
SQL Injection;API;Success;46:19.1;209.88.46.35;166.121.204.100;19.95;296;Endpoint Detection;Employee;France;10;Manufacturing;38;Block IP
Phishing;Network Switch;Success;34:01.1;5.30.22.60;181.177.238.110;77.57;300;MFA;Admin;Russia;9;Technology;155;Containment
Zero-Day Exploit;Email Server;Success;28:49.1;191.208.190.2;146.209.145.15;24.33;63;Firewall;Admin;France;8;Education;2;Reset Credentials
Malware;Network Switch;Failure;46:46.1;132.126.53.193;28.172.9.66;12.23;143;VPN;Employee;USA;1;Manufacturing;76;Reset Credentials
Cross-Site Scripting;Network Switch;Failure;06:47.1;117.74.20.210;100.32.214.157;80.1;90;SIEM;Employee;USA;5;Education;125;Quarantine
Zero-Day Exploit;Database;Failure;21:59.1;118.186.25.91;231.29.14.245;6.37;281;IDS;Employee;France;6;Education;128;Reset Credentials
Phishing;IoT Device;Success;55:24.1;32.233.66.158;107.178.177.228;65.63;106;VPN;Admin;Canada;4;Retail;141;Reset Credentials
Cross-Site Scripting;Network Switch;Success;25:55.1;229.84.197.62;157.31.4.99;58.23;252;IDS;Admin;Canada;9;Retail;15;Block IP
Brute Force;User Account;Failure;40:07.1;190.3.230.58;164.202.175.25;36.49;252;VPN;Admin;Russia;5;Finance;171;Reset Credentials
Zero-Day Exploit;IoT Device;Success;20:37.1;198.214.115.27;34.22.204.188;91.42;180;WAF;Admin;Australia;7;Education;120;Containment
SQL Injection;Web Server;Failure;15:15.1;225.135.120.74;64.132.220.199;94.93;57;IDS;Admin;Germany;4;Finance;44;Quarantine
Phishing;Web Server;Success;31:11.1;29.224.32.194;25.197.84.125;71.85;236;MFA;Employee;USA;7;Finance;35;Block IP
Cross-Site Scripting;Network Switch;Failure;06:41.1;66.103.166.9;79.63.25.231;48.01;91;IDS;Admin;Canada;5;Government;93;Patch
Brute Force;Database;Failure;00:10.1;255.159.55.55;102.92.216.194;60.47;290;VPN;Employee;China;6;Energy;37;Containment
Brute Force;Network Switch;Failure;51:05.1;255.7.94.120;26.7.35.159;58.6;125;VPN;Admin;Germany;1;Energy;75;Block IP
Zero-Day Exploit;Email Server;Failure;52:46.1;223.163.86.6;191.84.88.95;47.89;143;Firewall;External User;Russia;3;Finance;111;Reset Credentials
DDoS;User Account;Success;27:33.1;98.224.121.107;162.19.102.33;94.81;52;IDS;Admin;USA;3;Retail;140;Containment
Cross-Site Scripting;Database;Success;07:13.1;252.20.176.241;16.141.12.141;53.22;214;Antivirus;External User;China;10;Finance;45;Block IP
DDoS;IoT Device;Success;50:06.1;98.188.3.102;52.0.221.72;32.3;197;WAF;Employee;Australia;6;Education;92;Quarantine
Malware;User Account;Success;01:33.1;53.208.169.24;147.183.50.117;43.52;24;VPN;Employee;Germany;4;Healthcare;65;Containment
Phishing;User Account;Success;36:40.1;212.48.129.210;176.35.236.192;53.14;92;SIEM;Admin;Russia;5;Government;174;Quarantine
Malware;Cloud Service;Failure;02:45.1;22.14.189.207;106.38.235.127;86.61;222;VPN;External User;Brazil;4;Retail;163;Reset Credentials
SQL Injection;API;Success;48:03.1;184.245.38.59;131.78.236.142;63.22;276;WAF;Admin;China;4;Manufacturing;100;Reset Credentials
Zero-Day Exploit;Database;Success;23:34.1;137.251.32.253;18.191.24.159;3.29;134;SIEM;Contractor;India;1;Finance;112;Containment
Ransomware;Email Server;Success;17:56.1;111.141.109.199;214.241.203.76;79.93;184;WAF;Admin;China;7;Government;5;Reset Credentials
SQL Injection;Network Switch;Success;45:35.1;234.138.18.133;168.119.126.102;48.95;285;SIEM;Employee;France;7;Retail;1;Quarantine
DDoS;API;Success;26:28.1;131.146.40.190;48.81.238.58;77.43;42;SIEM;Contractor;France;9;Healthcare;49;Patch
Ransomware;User Account;Failure;11:02.1;123.68.121.98;60.117.49.250;99.94;38;Firewall;Contractor;Russia;10;Energy;172;Block IP
DDoS;Web Server;Success;21:23.1;246.249.54.99;91.145.37.78;50.13;94;IDS;External User;Australia;10;Technology;92;Containment
Ransomware;Email Server;Success;03:31.1;159.45.12.102;238.120.139.65;93.52;69;SIEM;Employee;China;10;Education;76;Reset Credentials
DDoS;Email Server;Failure;00:29.1;3.181.97.95;196.35.82.1;38.89;270;Endpoint Detection;Employee;Australia;9;Retail;40;Patch
Zero-Day Exploit;User Account;Success;04:25.1;121.53.1.28;59.81.170.125;98.5;244;IDS;Employee;Brazil;6;Government;48;Quarantine
Ransomware;Web Server;Failure;41:32.1;135.205.141.97;175.203.104.243;6.61;166;Endpoint Detection;Admin;Australia;9;Manufacturing;150;Reset Credentials
Zero-Day Exploit;Database;Success;15:23.1;104.13.181.25;141.162.119.185;68.85;206;Antivirus;Admin;UK;9;Energy;7;Patch
DDoS;API;Success;15:58.1;170.214.35.83;215.103.159.237;23.65;86;Firewall;Contractor;Canada;5;Technology;24;Quarantine
Ransomware;Web Server;Success;41:42.1;151.125.9.154;232.106.255.41;57.11;150;SIEM;Contractor;USA;10;Technology;46;Reset Credentials
Brute Force;API;Failure;56:41.1;102.216.142.77;57.86.86.240;3.4;93;Firewall;Admin;UK;7;Education;29;Containment
Cross-Site Scripting;User Account;Success;22:33.1;134.252.60.53;190.193.209.65;2.37;87;Firewall;External User;USA;3;Government;84;Block IP
DDoS;Cloud Service;Success;41:10.1;80.159.66.85;54.204.97.33;78.22;188;WAF;External User;Russia;1;Manufacturing;54;Containment
Malware;Web Server;Success;27:14.1;206.183.24.35;194.166.155.36;34.59;138;MFA;Admin;Australia;8;Finance;1;Patch
Brute Force;IoT Device;Failure;49:00.1;217.242.90.102;160.215.213.155;5.4;62;IDS;Employee;Russia;9;Energy;169;Patch
Ransomware;API;Success;57:31.1;254.94.49.38;189.212.227.169;92.21;90;SIEM;Admin;Brazil;10;Manufacturing;125;Quarantine
SQL Injection;User Account;Success;54:33.1;55.64.192.236;75.67.34.216;17.36;7;MFA;Employee;France;3;Technology;135;Block IP
Malware;API;Success;07:07.1;77.24.94.215;202.140.110.234;42;75;Endpoint Detection;Contractor;China;3;Government;39;Containment
Malware;Network Switch;Success;41:43.1;220.249.215.191;136.61.162.209;62.43;50;Firewall;External User;Germany;7;Energy;28;Containment
SQL Injection;Email Server;Failure;53:50.1;210.2.109.238;60.7.34.186;36.54;9;Firewall;External User;USA;1;Energy;158;Containment
Zero-Day Exploit;Network Switch;Success;53:14.1;250.206.115.195;124.163.191.195;69.48;129;SIEM;Admin;Russia;8;Energy;3;Containment
Phishing;IoT Device;Success;03:17.1;195.155.177.25;127.89.178.12;10.15;272;Endpoint Detection;Employee;Australia;3;Finance;152;Containment
Zero-Day Exploit;Email Server;Failure;20:17.1;187.6.205.46;180.84.119.200;7.65;233;SIEM;Admin;Canada;7;Government;112;Patch
SQL Injection;Cloud Service;Failure;47:14.1;170.252.248.108;202.164.121.93;9.66;267;Firewall;Admin;Canada;7;Finance;49;Containment
SQL Injection;Network Switch;Failure;01:09.1;218.39.94.39;151.2.219.25;37.44;217;SIEM;Admin;India;7;Finance;16;Containment
Cross-Site Scripting;Database;Failure;32:22.1;234.121.206.245;219.55.7.36;99.84;107;VPN;Contractor;Brazil;1;Education;116;Block IP
Zero-Day Exploit;Network Switch;Success;34:39.1;52.131.190.62;47.122.53.148;97.85;182;VPN;External User;Russia;6;Technology;109;Containment
Brute Force;IoT Device;Success;32:09.1;193.129.55.216;111.81.81.232;30.06;248;MFA;Admin;Australia;7;Energy;173;Containment
Zero-Day Exploit;User Account;Success;23:25.1;35.21.182.18;107.156.146.74;59.55;295;Antivirus;Employee;Australia;7;Energy;85;Block IP
DDoS;Database;Failure;12:35.1;185.80.219.63;100.187.159.62;90.91;179;Firewall;External User;China;7;Manufacturing;6;Reset Credentials
Phishing;Email Server;Success;05:08.1;129.125.135.117;122.184.225.74;84.83;43;Antivirus;External User;China;5;Retail;62;Patch
Phishing;Database;Failure;37:46.1;96.42.204.182;211.170.93.225;5.66;294;WAF;External User;India;10;Retail;106;Reset Credentials
Phishing;Email Server;Failure;04:10.1;166.29.5.111;154.94.97.113;5.46;151;WAF;Employee;Russia;7;Finance;78;Block IP
Phishing;IoT Device;Failure;22:25.1;34.212.22.92;162.68.101.40;42.43;64;Endpoint Detection;Admin;UK;2;Energy;76;Block IP
Malware;API;Failure;54:05.1;209.253.172.227;92.82.150.146;9.68;13;Antivirus;Employee;India;6;Finance;173;Containment
Zero-Day Exploit;Network Switch;Failure;14:36.1;131.239.224.182;204.249.220.0;72.32;235;Firewall;Contractor;France;4;Technology;173;Block IP
SQL Injection;User Account;Success;03:37.1;72.184.32.205;212.90.112.27;20.89;208;VPN;Admin;Russia;6;Technology;87;Patch
Phishing;Network Switch;Success;54:44.1;128.38.176.25;192.255.165.39;47.52;155;Antivirus;Contractor;Australia;2;Energy;26;Block IP
Brute Force;Database;Failure;17:58.1;187.5.205.210;179.179.250.63;33.36;234;VPN;External User;Germany;7;Energy;120;Quarantine
SQL Injection;Email Server;Success;05:31.1;109.14.60.224;11.55.148.26;79.39;116;MFA;Employee;UK;4;Manufacturing;157;Block IP
Cross-Site Scripting;IoT Device;Success;38:25.1;111.146.99.238;172.249.172.51;48.57;235;SIEM;Contractor;Germany;8;Retail;9;Block IP
DDoS;User Account;Failure;21:19.1;227.70.122.191;31.147.214.25;52.5;280;Antivirus;Admin;France;8;Retail;173;Reset Credentials
Brute Force;User Account;Success;55:19.1;254.128.164.145;8.31.133.139;2.72;179;Antivirus;Employee;Australia;7;Education;154;Quarantine
SQL Injection;Email Server;Success;06:06.1;99.104.117.129;28.106.185.181;10.27;43;VPN;Employee;Russia;3;Education;143;Containment
Zero-Day Exploit;Cloud Service;Success;55:29.1;109.119.233.237;20.178.244.138;69.72;77;VPN;Employee;Germany;8;Finance;53;Block IP
Zero-Day Exploit;IoT Device;Failure;29:56.1;219.12.247.68;90.252.180.61;21.93;261;VPN;Contractor;UK;5;Healthcare;119;Reset Credentials
Malware;IoT Device;Failure;19:12.1;137.38.253.39;123.135.249.199;39.97;282;WAF;Employee;USA;10;Finance;145;Block IP
Malware;Network Switch;Success;09:30.1;227.27.146.119;245.62.203.163;10.4;18;IDS;Contractor;China;9;Government;128;Patch
Phishing;Cloud Service;Failure;05:01.1;34.198.57.16;131.212.123.231;8.72;291;Endpoint Detection;Contractor;USA;6;Finance;121;Quarantine
Phishing;Database;Failure;53:26.1;133.245.175.47;103.142.95.71;62.56;292;WAF;Contractor;UK;2;Healthcare;10;Patch
